Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11
1,Document,,,,,,,,,Approved,BCRG Avalanche Economic Model - cadCAD Canvas,,,,,,,,,,
2,Page,,,,,,,,,,cadCAD Canvas v1.0.0,,,,,,,,,,
3,AdvancedSwimLaneBlockRotated,Flowchart Shapes/Containers,2,,,,,,,,,System State Inputs,System Inputs,State Update Logic,System States,System Metrics,,,,,
4,Swim lane,Flowchart Shapes/Containers,2,,,,,,,,,"Staking Dynamics [model.parts.staking]",Token Supply [model.parts.token_supply],Fee Dynamics (ACP-103) [model.parts.fee_dynamics],L1 Ecosystem (ACP-77) [model.parts.l1_ecosystem],Governance [model.parts.governance],,,,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,,,,,,,,,,,
6,TerminatorBlock,Flowchart Shapes/Containers,2,,,,,,,,State Update Function updating State C,,,,,,,,,,
7,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (User Decision),,,,,,,,,,
8,Database,Flowchart Shapes/Containers,2,,,,,,,,State Variable C,,,,,,,,,,
9,TerminatorBlock,Flowchart Shapes/Containers,2,,,,,,,,State Update Function updating State B,,,,,,,,,,
10,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (System Decision),,,,,,,,,,
11,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (Environmental Process),,,,,,,,,,
12,Database,Flowchart Shapes/Containers,2,,,,,,,,State Variable B,,,,,,,,,,
13,Database,Flowchart Shapes/Containers,2,,,,,,,,State Variable X,,,,,,,,,,
14,Block,Standard,2,,,,,,,,BCRG Avalanche Economic Model - cadCAD Canvas,,,,,,,,,,
15,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (User Decision),,,,,,,,,,
16,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (User Decision),,,,,,,,,,
17,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (System Decision),,,,,,,,,,
18,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (System Decision),,,,,,,,,,
19,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (Environmental Process),,,,,,,,,,
20,Diamond,Geometric Shapes,2,,,,,,,,Policy Function (Environmental Process),,,,,,,,,,
21,Block,Standard,2,,,,,,,,"Notes:
Author: BCRG Team - Blockchain Crypto Research Group
cadCAD model version: v1.0.0
Specification: Avalanche Differential Specification
Comments: Based on Milestone 3 Differential Specification
References: ACP-77, ACP-103, ACP-176",,,,,,,,,,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Metric Z,,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Metric Y,,,,,,,,,,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Metric X,,,,,,,,,,
25,Block,Standard,2,,,,,,,,System Metrics,,,,,,,,,,
26,Block,Standard,2,,,,,,,,System Logic,,,,,,,,,,
27,Diamond,Geometric Shapes,2,3:2|4:1,,,,,,,Staking Decision,,,,,,,,,,
28,Database,Flowchart Shapes/Containers,2,3:1|4:1,,,,,,,circulating_supply,,,,,,,,,,
29,Database,Flowchart Shapes/Containers,2,3:1|4:1,,,,,,,staking_apr,,,,,,,,,,
30,Database,Flowchart Shapes/Containers,2,3:1|4:1,,,,,,,OPPORTUNITY_COST,,,,,,,,,,
31,Diamond,Geometric Shapes,2,3:2|4:1,,,,,,,Validator Entry/Exit,,,,,,,,,,
32,Diamond,Geometric Shapes,2,3:2|4:1,,,,,,,Reward Distribution,,,,,,,,,,
33,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:1,,,,,,,Update total_staked,,,,,,,,,,
34,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:1,,,,,,,Update validator_count,,,,,,,,,,
35,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:1,,,,,,,Update staking_apr,,,,,,,,,,
36,Database,Flowchart Shapes/Containers,2,3:4|4:1,,,,,,,total_staked,,,,,,,,,,
37,Database,Flowchart Shapes/Containers,2,3:4|4:1,,,,,,,validator_staked,,,,,,,,,,
38,Database,Flowchart Shapes/Containers,2,3:4|4:1,,,,,,,delegator_staked,,,,,,,,,,
39,Database,Flowchart Shapes/Containers,2,3:4|4:1,,,,,,,validator_count,,,,,,,,,,
40,Process,Flowchart Shapes/Containers,2,3:5|4:1,,,,,,,staking_ratio,,,,,,,,,,
41,Process,Flowchart Shapes/Containers,2,3:5|4:1,,,,,,,validator_rewards,,,,,,,,,,
42,Process,Flowchart Shapes/Containers,2,3:5|4:1,,,,,,,delegator_rewards,,,,,,,,,,
43,Database,Flowchart Shapes/Containers,2,3:1|4:2,,,,,,,total_staked,,,,,,,,,,
44,Database,Flowchart Shapes/Containers,2,3:1|4:2,,,,,,,fee_burn_rate,,,,,,,,,,
45,Database,Flowchart Shapes/Containers,2,3:1|4:2,,,,,,,l1_fee_burn_rate,,,,,,,,,,
46,Diamond,Geometric Shapes,2,3:2|4:2,,,,,,,Issuance,,,,,,,,,,
47,Diamond,Geometric Shapes,2,3:2|4:2,,,,,,,Token Unlock,,,,,,,,,,
48,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:2,,,,,,,Update total_supply,,,,,,,,,,
49,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:2,,,,,,,Update circulating_supply,,,,,,,,,,
50,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:2,,,,,,,Update cumulative_burned,,,,,,,,,,
51,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,total_supply,,,,,,,,,,
52,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,circulating_supply,,,,,,,,,,
53,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,locked_supply,,,,,,,,,,
54,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,cumulative_burned,,,,,,,,,,
55,Database,Flowchart Shapes/Containers,2,3:4|4:2,,,,,,,issuance_rate,,,,,,,,,,
56,Process,Flowchart Shapes/Containers,2,3:5|4:2,,,,,,,net_inflation,,,,,,,,,,
57,Process,Flowchart Shapes/Containers,2,3:5|4:2,,,,,,,burn_ratio,,,,,,,,,,
58,Process,Flowchart Shapes/Containers,2,3:5|4:2,,,,,,,supply_trajectory,,,,,,,,,,
59,Database,Flowchart Shapes/Containers,2,3:1|4:3,,,,,,,transaction_volume,,,,,,,,,,
60,Database,Flowchart Shapes/Containers,2,3:1|4:3,,,,,,,gas_consumed,,,,,,,,,,
61,Diamond,Geometric Shapes,2,3:2|4:3,,,,,,,Fee Adjustment,,,,,,,,,,
62,Diamond,Geometric Shapes,2,3:2|4:3,,,,,,,Gas Consumption,,,,,,,,,,
63,Diamond,Geometric Shapes,2,3:2|4:3,,,,,,,Dynamic Gas Limit,,,,,,,,,,
64,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:3,,,,,,,Update excess_gas,,,,,,,,,,
65,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:3,,,,,,,Update gas_price,,,,,,,,,,
66,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:3,,,,,,,Update fee_burn_rate,,,,,,,,,,
67,Database,Flowchart Shapes/Containers,2,3:4|4:3,,,,,,,gas_price,,,,,,,,,,
68,Database,Flowchart Shapes/Containers,2,3:4|4:3,,,,,,,excess_gas,,,,,,,,,,
69,Database,Flowchart Shapes/Containers,2,3:4|4:3,,,,,,,fee_burn_rate,,,,,,,,,,
70,Database,Flowchart Shapes/Containers,2,3:4|4:3,,,,,,,network_utilization,,,,,,,,,,
71,Process,Flowchart Shapes/Containers,2,3:5|4:3,,,,,,,fee_market_efficiency,,,,,,,,,,
72,Process,Flowchart Shapes/Containers,2,3:5|4:3,,,,,,,resource_pricing,,,,,,,,,,
73,Database,Flowchart Shapes/Containers,2,3:1|4:4,,,,,,,l1_demand,,,,,,,,,,
74,Database,Flowchart Shapes/Containers,2,3:1|4:4,,,,,,,l1_validator_count,,,,,,,,,,
75,Diamond,Geometric Shapes,2,3:2|4:4,,,,,,,L1 Creation,,,,,,,,,,
76,Diamond,Geometric Shapes,2,3:2|4:4,,,,,,,L1 Abandonment,,,,,,,,,,
77,Diamond,Geometric Shapes,2,3:2|4:4,,,,,,,L1 Fee Calculation,,,,,,,,,,
78,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:4,,,,,,,Update l1_count,,,,,,,,,,
79,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:4,,,,,,,Update l1_fee_burn_rate,,,,,,,,,,
80,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:4,,,,,,,Update l1_validator_fee,,,,,,,,,,
81,Database,Flowchart Shapes/Containers,2,3:4|4:4,,,,,,,l1_count,,,,,,,,,,
82,Database,Flowchart Shapes/Containers,2,3:4|4:4,,,,,,,l1_validator_count,,,,,,,,,,
83,Database,Flowchart Shapes/Containers,2,3:4|4:4,,,,,,,l1_fee_burn_rate,,,,,,,,,,
84,Process,Flowchart Shapes/Containers,2,3:5|4:4,,,,,,,l1_adoption_rate,,,,,,,,,,
85,Process,Flowchart Shapes/Containers,2,3:5|4:4,,,,,,,l1_economic_value,,,,,,,,,,
86,Database,Flowchart Shapes/Containers,2,3:1|4:5,,,,,,,proposal_activity,,,,,,,,,,
87,Database,Flowchart Shapes/Containers,2,3:1|4:5,,,,,,,stake_weight,,,,,,,,,,
88,Diamond,Geometric Shapes,2,3:2|4:5,,,,,,,Proposal Submission,,,,,,,,,,
89,Diamond,Geometric Shapes,2,3:2|4:5,,,,,,,Implementation,,,,,,,,,,
90,Diamond,Geometric Shapes,2,3:2|4:5,,,,,,,Parameter Change,,,,,,,,,,
91,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:5,,,,,,,Update ACP counts,,,,,,,,,,
92,TerminatorBlock,Flowchart Shapes/Containers,2,3:3|4:5,,,,,,,Update parameters,,,,,,,,,,
93,Database,Flowchart Shapes/Containers,2,3:4|4:5,,,,,,,proposed_acp_count,,,,,,,,,,
94,Database,Flowchart Shapes/Containers,2,3:4|4:5,,,,,,,implementable_acp_count,,,,,,,,,,
95,Database,Flowchart Shapes/Containers,2,3:4|4:5,,,,,,,activated_acp_count,,,,,,,,,,
96,Database,Flowchart Shapes/Containers,2,3:4|4:5,,,,,,,stale_acp_count,,,,,,,,,,
97,Process,Flowchart Shapes/Containers,2,3:5|4:5,,,,,,,governance_participation,,,,,,,,,,
98,Process,Flowchart Shapes/Containers,2,3:5|4:5,,,,,,,parameter_stability,,,,,,,,,,
99,AdvancedSwimLaneBlockRotated,Flowchart Shapes/Containers,2,,,,,,,,,System State Inputs,System Inputs,State Update Logic,System States,System Metrics,,,,,
100,Swim lane,Flowchart Shapes/Containers,2,,,,,,,,,Reward Aggregation [model.parts.rewards],Supply Dynamics [model.parts.supply],Validator Economics [model.parts.validators],Cross-Subsystem Metrics [model.parts.metrics],,,,,,
101,Diamond,Geometric Shapes,2,99:2|100:1,,,,,,,Total Rewards,,,,,,,,,,
102,Database,Flowchart Shapes/Containers,2,99:1|100:1,,,,,,,validator_rewards,,,,,,,,,,
103,Database,Flowchart Shapes/Containers,2,99:1|100:1,,,,,,,delegator_rewards,,,,,,,,,,
104,Database,Flowchart Shapes/Containers,2,99:1|100:1,,,,,,,restaked_rewards,,,,,,,,,,
105,Process,Flowchart Shapes/Containers,2,99:5|100:1,,,,,,,total_reward_distribution,,,,,,,,,,
106,Diamond,Geometric Shapes,2,99:2|100:2,,,,,,,Supply Evolution,,,,,,,,,,
107,Database,Flowchart Shapes/Containers,2,99:1|100:2,,,,,,,issuance_rate,,,,,,,,,,
108,Database,Flowchart Shapes/Containers,2,99:1|100:2,,,,,,,total_burn_rate,,,,,,,,,,
109,Database,Flowchart Shapes/Containers,2,99:1|100:2,,,,,,,total_staked,,,,,,,,,,
110,TerminatorBlock,Flowchart Shapes/Containers,2,99:3|100:2,,,,,,,Update supply_trajectory,,,,,,,,,,
111,TerminatorBlock,Flowchart Shapes/Containers,2,99:3|100:2,,,,,,,Update deflationary_crossover,,,,,,,,,,
112,Database,Flowchart Shapes/Containers,2,99:4|100:2,,,,,,,supply_trajectory,,,,,,,,,,
113,Process,Flowchart Shapes/Containers,2,99:5|100:2,,,,,,,years_to_max_supply,,,,,,,,,,
114,Process,Flowchart Shapes/Containers,2,99:5|100:2,,,,,,,deflationary_threshold,,,,,,,,,,
115,Diamond,Geometric Shapes,2,99:2|100:3,,,,,,,Validator Profitability,,,,,,,,,,
116,Database,Flowchart Shapes/Containers,2,99:1|100:3,,,,,,,validator_count,,,,,,,,,,
117,Database,Flowchart Shapes/Containers,2,99:1|100:3,,,,,,,validator_rewards,,,,,,,,,,
118,Database,Flowchart Shapes/Containers,2,99:1|100:3,,,,,,,operational_costs,,,,,,,,,,
119,TerminatorBlock,Flowchart Shapes/Containers,2,99:3|100:3,,,,,,,Update validator_profitability,,,,,,,,,,
120,TerminatorBlock,Flowchart Shapes/Containers,2,99:3|100:3,,,,,,,Update validator_entry_rate,,,,,,,,,,
121,Database,Flowchart Shapes/Containers,2,99:4|100:3,,,,,,,validator_profitability,,,,,,,,,,
122,Database,Flowchart Shapes/Containers,2,99:4|100:3,,,,,,,validator_entry_rate,,,,,,,,,,
123,Database,Flowchart Shapes/Containers,2,99:4|100:3,,,,,,,validator_exit_rate,,,,,,,,,,
124,Process,Flowchart Shapes/Containers,2,99:5|100:3,,,,,,,net_validator_change,,,,,,,,,,
125,Process,Flowchart Shapes/Containers,2,99:5|100:3,,,,,,,validator_profit_margin,,,,,,,,,,
126,Diamond,Geometric Shapes,2,99:2|100:4,,,,,,,System Health,,,,,,,,,,
127,Database,Flowchart Shapes/Containers,2,99:1|100:4,,,,,,,staking_ratio,,,,,,,,,,
128,Database,Flowchart Shapes/Containers,2,99:1|100:4,,,,,,,burn_ratio,,,,,,,,,,
129,Database,Flowchart Shapes/Containers,2,99:1|100:4,,,,,,,l1_count,,,,,,,,,,
130,Database,Flowchart Shapes/Containers,2,99:1|100:4,,,,,,,validator_count,,,,,,,,,,
131,Process,Flowchart Shapes/Containers,2,99:5|100:4,,,,,,,security_score,,,,,,,,,,
132,Process,Flowchart Shapes/Containers,2,99:5|100:4,,,,,,,economic_sustainability,,,,,,,,,,
133,Process,Flowchart Shapes/Containers,2,99:5|100:4,,,,,,,network_health_index,,,,,,,,,,
134,Line,,2,,,28,27,None,Arrow,,,,,,,,,,,,
135,Line,,2,,,29,27,None,Arrow,,,,,,,,,,,,
136,Line,,2,,,30,27,None,Arrow,,,,,,,,,,,,
137,Line,,2,,,27,33,None,Arrow,,,,,,,,,,,,
138,Line,,2,,,31,34,None,Arrow,,,,,,,,,,,,
139,Line,,2,,,32,35,None,Arrow,,,,,,,,,,,,
140,Line,,2,,,33,36,None,Arrow,,,,,,,,,,,,
141,Line,,2,,,33,37,None,Arrow,,,,,,,,,,,,
142,Line,,2,,,33,38,None,Arrow,,,,,,,,,,,,
143,Line,,2,,,34,39,None,Arrow,,,,,,,,,,,,
144,Line,,2,,,36,40,None,Arrow,,,,,,,,,,,,
145,Line,,2,,,32,41,None,Arrow,,,,,,,,,,,,
146,Line,,2,,,32,42,None,Arrow,,,,,,,,,,,,
147,Line,,2,,,43,46,None,Arrow,,,,,,,,,,,,
148,Line,,2,,,44,50,None,Arrow,,,,,,,,,,,,
149,Line,,2,,,45,50,None,Arrow,,,,,,,,,,,,
150,Line,,2,,,46,48,None,Arrow,,,,,,,,,,,,
151,Line,,2,,,47,49,None,Arrow,,,,,,,,,,,,
152,Line,,2,,,48,51,None,Arrow,,,,,,,,,,,,
153,Line,,2,,,49,52,None,Arrow,,,,,,,,,,,,
154,Line,,2,,,50,54,None,Arrow,,,,,,,,,,,,
155,Line,,2,,,48,55,None,Arrow,,,,,,,,,,,,
156,Line,,2,,,51,56,None,Arrow,,,,,,,,,,,,
157,Line,,2,,,54,57,None,Arrow,,,,,,,,,,,,
158,Line,,2,,,51,58,None,Arrow,,,,,,,,,,,,
159,Line,,2,,,59,62,None,Arrow,,,,,,,,,,,,
160,Line,,2,,,60,61,None,Arrow,,,,,,,,,,,,
161,Line,,2,,,61,64,None,Arrow,,,,,,,,,,,,
162,Line,,2,,,61,65,None,Arrow,,,,,,,,,,,,
163,Line,,2,,,62,66,None,Arrow,,,,,,,,,,,,
164,Line,,2,,,64,68,None,Arrow,,,,,,,,,,,,
165,Line,,2,,,65,67,None,Arrow,,,,,,,,,,,,
166,Line,,2,,,66,69,None,Arrow,,,,,,,,,,,,
167,Line,,2,,,68,70,None,Arrow,,,,,,,,,,,,
168,Line,,2,,,67,71,None,Arrow,,,,,,,,,,,,
169,Line,,2,,,69,72,None,Arrow,,,,,,,,,,,,
170,Line,,2,,,73,75,None,Arrow,,,,,,,,,,,,
171,Line,,2,,,73,76,None,Arrow,,,,,,,,,,,,
172,Line,,2,,,74,77,None,Arrow,,,,,,,,,,,,
173,Line,,2,,,75,78,None,Arrow,,,,,,,,,,,,
174,Line,,2,,,76,78,None,Arrow,,,,,,,,,,,,
175,Line,,2,,,77,79,None,Arrow,,,,,,,,,,,,
176,Line,,2,,,77,80,None,Arrow,,,,,,,,,,,,
177,Line,,2,,,78,81,None,Arrow,,,,,,,,,,,,
178,Line,,2,,,79,83,None,Arrow,,,,,,,,,,,,
179,Line,,2,,,80,82,None,Arrow,,,,,,,,,,,,
180,Line,,2,,,81,84,None,Arrow,,,,,,,,,,,,
181,Line,,2,,,83,85,None,Arrow,,,,,,,,,,,,
182,Line,,2,,,86,88,None,Arrow,,,,,,,,,,,,
183,Line,,2,,,87,88,None,Arrow,,,,,,,,,,,,
184,Line,,2,,,88,91,None,Arrow,,,,,,,,,,,,
185,Line,,2,,,89,91,None,Arrow,,,,,,,,,,,,
186,Line,,2,,,90,92,None,Arrow,,,,,,,,,,,,
187,Line,,2,,,91,93,None,Arrow,,,,,,,,,,,,
188,Line,,2,,,91,94,None,Arrow,,,,,,,,,,,,
189,Line,,2,,,91,95,None,Arrow,,,,,,,,,,,,
190,Line,,2,,,91,96,None,Arrow,,,,,,,,,,,,
191,Line,,2,,,93,97,None,Arrow,,,,,,,,,,,,
192,Line,,2,,,92,98,None,Arrow,,,,,,,,,,,,
193,Line,,2,,,102,101,None,Arrow,,,,,,,,,,,,
194,Line,,2,,,103,101,None,Arrow,,,,,,,,,,,,
195,Line,,2,,,104,101,None,Arrow,,,,,,,,,,,,
196,Line,,2,,,101,105,None,Arrow,,,,,,,,,,,,
197,Line,,2,,,107,106,None,Arrow,,,,,,,,,,,,
198,Line,,2,,,108,106,None,Arrow,,,,,,,,,,,,
199,Line,,2,,,109,106,None,Arrow,,,,,,,,,,,,
200,Line,,2,,,106,110,None,Arrow,,,,,,,,,,,,
201,Line,,2,,,106,111,None,Arrow,,,,,,,,,,,,
202,Line,,2,,,110,112,None,Arrow,,,,,,,,,,,,
203,Line,,2,,,112,113,None,Arrow,,,,,,,,,,,,
204,Line,,2,,,111,114,None,Arrow,,,,,,,,,,,,
205,Line,,2,,,116,115,None,Arrow,,,,,,,,,,,,
206,Line,,2,,,117,115,None,Arrow,,,,,,,,,,,,
207,Line,,2,,,118,115,None,Arrow,,,,,,,,,,,,
208,Line,,2,,,115,119,None,Arrow,,,,,,,,,,,,
209,Line,,2,,,115,120,None,Arrow,,,,,,,,,,,,
210,Line,,2,,,119,121,None,Arrow,,,,,,,,,,,,
211,Line,,2,,,120,122,None,Arrow,,,,,,,,,,,,
212,Line,,2,,,120,123,None,Arrow,,,,,,,,,,,,
213,Line,,2,,,121,125,None,Arrow,,,,,,,,,,,,
214,Line,,2,,,122,124,None,Arrow,,,,,,,,,,,,
215,Line,,2,,,127,126,None,Arrow,,,,,,,,,,,,
216,Line,,2,,,128,126,None,Arrow,,,,,,,,,,,,
217,Line,,2,,,129,126,None,Arrow,,,,,,,,,,,,
218,Line,,2,,,130,126,None,Arrow,,,,,,,,,,,,
219,Line,,2,,,126,131,None,Arrow,,,,,,,,,,,,
220,Line,,2,,,126,132,None,Arrow,,,,,,,,,,,,
221,Line,,2,,,126,133,None,Arrow,,,,,,,,,,,,
222,Line,,2,,,36,43,None,Arrow,,Cross-subsystem: Staking to Token Supply,,,,,,,,,,
223,Line,,2,,,69,44,None,Arrow,,Cross-subsystem: Fee Dynamics to Token Supply,,,,,,,,,,
224,Line,,2,,,83,45,None,Arrow,,Cross-subsystem: L1 Ecosystem to Token Supply,,,,,,,,,,
225,Line,,2,,,39,116,None,Arrow,,Cross-subsystem: Staking to Validator Economics,,,,,,,,,,
226,Line,,2,,,41,117,None,Arrow,,Cross-subsystem: Staking Rewards to Validator Economics,,,,,,,,,,
227,Line,,2,,,36,109,None,Arrow,,Cross-subsystem: Staking to Supply Dynamics,,,,,,,,,,
228,Line,,2,,,55,107,None,Arrow,,Cross-subsystem: Token Supply to Supply Dynamics,,,,,,,,,,
229,Line,,2,,,69,108,None,Arrow,,Cross-subsystem: Fee Burn to Supply Dynamics,,,,,,,,,,
230,Line,,2,,,83,108,None,Arrow,,Cross-subsystem: L1 Fee Burn to Supply Dynamics,,,,,,,,,,
231,Line,,2,,,40,127,None,Arrow,,Cross-subsystem: Staking Ratio to System Health,,,,,,,,,,
232,Line,,2,,,57,128,None,Arrow,,Cross-subsystem: Burn Ratio to System Health,,,,,,,,,,
233,Line,,2,,,81,129,None,Arrow,,Cross-subsystem: L1 Count to System Health,,,,,,,,,,
234,Line,,2,,,39,130,None,Arrow,,Cross-subsystem: Validator Count to System Health,,,,,,,,,,
235,Line,,2,,301,,,None,Arrow,,Dependency / Signal,,,,,,,,,,
236,Line,,2,,301,,,None,Arrow,,State Update from Signal,,,,,,,,,,
237,Line,,2,,301,,,None,Arrow,,Cross-subsystem Flow,,,,,,,,,,
301,Group 1,,2,,,,,,,,,,,,,,,,,,
